Year,Race,Driver,Constructor,Position,Points
2014,Singapore Grand Prix,Grosjean,Lotus F1,13,0.0
2014,Singapore Grand Prix,Kvyat,Toro Rosso,14,0.0
2014,Singapore Grand Prix,Ericsson,Caterham,15,0.0
2014,Singapore Grand Prix,Bianchi,Marussia,16,0.0
2014,Singapore Grand Prix,Chilton,Marussia,17,0.0
2014,Singapore Grand Prix,Button,McLaren,18,0.0
2014,Singapore Grand Prix,Sutil,Sauber,19,0.0
2014,Singapore Grand Prix,Gutiérrez,Sauber,20,0.0
2014,Singapore Grand Prix,Rosberg,Mercedes,21,0.0
2014,Singapore Grand Prix,Kobayashi,Caterham,22,0.0
2014,Spanish Grand Prix,Hamilton,Mercedes,1,25.0
2014,Spanish Grand Prix,Rosberg,Mercedes,2,18.0
2014,Spanish Grand Prix,Ricciardo,Red Bull,3,15.0
2014,Spanish Grand Prix,Vettel,Red Bull,4,12.0
2014,Spanish Grand Prix,Bottas,Williams,5,10.0
2014,Spanish Grand Prix,Alonso,Ferrari,6,8.0
2014,Spanish Grand Prix,Räikkönen,Ferrari,7,6.0
2014,Spanish Grand Prix,Grosjean,Lotus F1,8,4.0
2014,Spanish Grand Prix,Pérez,Force India,9,2.0
2014,Spanish Grand Prix,Hülkenberg,Force India,10,1.0
2014,Spanish Grand Prix,Button,McLaren,11,0.0
2014,Spanish Grand Prix,Magnussen,McLaren,12,0.0
2014,Spanish Grand Prix,Massa,Williams,13,0.0
2014,Spanish Grand Prix,Kvyat,Toro Rosso,14,0.0
2014,Spanish Grand Prix,Maldonado,Lotus F1,15,0.0
2014,Spanish Grand Prix,Gutiérrez,Sauber,16,0.0
2014,Spanish Grand Prix,Sutil,Sauber,17,0.0
2014,Spanish Grand Prix,Bianchi,Marussia,18,0.0
2014,Spanish Grand Prix,Chilton,Marussia,19,0.0
2014,Spanish Grand Prix,Ericsson,Caterham,20,0.0
2014,Spanish Grand Prix,Kobayashi,Caterham,21,0.0
2014,Spanish Grand Prix,Vergne,Toro Rosso,22,0.0
